gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
C1D,194.920005592787,-2.53304520935035,0.322862136907081,3.18619570940638e-16,6.5036626820403e-12
GSTM1,82.6383715350746,-0.000319941530705098,0.0385132982135876,7.33106547353033e-12,7.48208542228506e-08
IGKV3D-11,15.2249087556183,3.83389949702322,0.645651204307793,1.16761591705922e-09,6.08103280194088e-06
NAIPP3,10.4297812220789,3.55489656027169,0.607351475838469,1.1916583974017e-09,6.08103280194088e-06
GSTM3,84.0192692234536,-3.44423149409197,0.685705557732633,1.0036629538339e-08,4.09735364273152e-05
PAX8-AS1,200.043847822538,-0.00274574496741627,0.0386573944110928,4.03113517280638e-08,0.000137139218578873
ST3GAL6-AS1,7.72825680120514,3.56253510011762,0.704028224498434,8.21089444702034e-08,0.000239429682075113
SPIN3,153.210645417566,1.36812308501206,0.29146814769466,2.68423849700116e-07,0.000684883452509846
IGHV5-10-1,46.5032999205567,-0.000168791409912199,0.0385118404460037,3.67420502808712e-07,0.00083330970037016
FST,4.5851589198989,5.20765756371891,1.05956428072799,8.97027009624166e-07,0.00183101153204485
RPS2P7,9.12391548685209,2.213472933146,0.536935554845571,1.35345249199928e-06,0.00251151566060812
SEPTIN7P3,4.06174375559488,5.07579592993394,1.10268684019132,2.60635890163589e-06,0.00443341649168266
POU5F1B,9.45067474244741,2.07769806053828,0.528758612633843,8.24898502435587e-06,0.0129521755628578
AMFR,1210.81939138351,-1.0999150902558,0.328966324676636,1.3558756174077e-05,0.0197686665018043
AEBP1,129.433311646591,-0.010038989431939,0.0404419970254461,2.14280907977676e-05,0.0282824504483247
EXPH5,29.3742873396414,-1.87479278788003,0.551609588514119,2.21692733281009e-05,0.0282824504483247
SLC25A4,155.247097895307,-1.0889171997615,0.340888446511526,2.89485978316425e-05,0.0347587517023227
NMRK1,351.531700416191,-0.0188268804466475,0.0455795818095021,5.01207731300986e-05,0.0568369567295318
NAPSB,1564.04499975535,-1.39256281629426,0.494966601793615,5.34820610327249e-05,0.0574566226210516
NFXL1,125.598685427287,0.595774768092979,0.188868232695763,7.24987149367078e-05,0.0650503830490744
AVPI1,155.553445819511,-0.00475185476039745,0.0389390143297442,6.8786855086096e-05,0.0650503830490744
PTPMT1,54.1760154285258,0.555745631030941,0.181749943970831,7.32980016719925e-05,0.0650503830490744
HERC2P3,48.1210844667218,-0.00411718186422383,0.0388332992635263,7.21531563021026e-05,0.0650503830490744
KBTBD11,224.900409468072,1.04583642423958,0.32038254885361,8.10614434449371e-05,0.068942757649919
DUSP8,251.620707607864,-0.00295315636492431,0.038676280372171,0.000100384427083434,0.0819618770250818
PPARGC1B,174.817098431488,0.793476873533652,0.254406061977916,0.000105998009407762,0.0820437345581932
MTUS1,39.7606985448792,1.74372456146613,0.527382461168893,0.000109527249499549,0.0820437345581932
NUDT11,11.0931146895313,1.5840865773415,0.504216754717775,0.000112542845758838,0.0820437345581932
TRBV7-3,50.9476279750587,-0.00429635782127581,0.0388603843213078,0.000124342217180727,0.0875197702445861
SEC22B2P,3.63460684778301,2.62500456936252,0.983128989733273,0.000137435770436216,0.0935112982048011
AIFM3,56.4340336843922,1.20292569624523,0.391021906553424,0.000150932679441901,0.0993818662183255
TSHR,13.3456664714901,1.54522270300412,0.531063726960737,0.000170313951872039,0.108639012050377
EIF3CL,211.016319954926,-0.00202980000285097,0.0385900736951966,0.000185675126032029,0.114848505229266
TADA2B,697.678890660609,-0.0233949623442018,0.0496513790230428,0.000195082500587135,0.117118352999547
IGLV1-44,483.137566444796,-0.00425999433743456,0.0388504644223844,0.000222689727415481,0.12879699945716
CELSR1,69.8665852815873,-0.00642675391742951,0.0392900341697689,0.000227155201864481,0.12879699945716
BCL2L13,533.897446873847,0.495314546321288,0.176713773847954,0.000235764187982978,0.130065367705636
CCL20,344.339190983539,-0.00141962570791414,0.0385499350481639,0.000247960200296273,0.130317208020877
ZNF791,447.797990039401,-0.0273263243951355,0.0542939371652008,0.000248989374525485,0.130317208020877
CHI3L2,179.44419882013,-1.39808963121076,0.633985306158127,0.000262128994357853,0.130501878849573
SUMO2P19,0.986918210704069,3.62203735637342,1.2137628250574,0.000257070664696139,0.130501878849573
STYK1,14.5304713185295,-0.00427881126852361,0.0388555176634134,0.000271518565954858,0.131958023054061
NBPF25P,16.3738038036905,1.10191323271391,0.435092111868637,0.000297064182822148,0.134836550323478
KNTC1,213.93315645551,-0.0261451767353992,0.0527552079321028,0.000297258708826011,0.134836550323478
SPRY3,19.0523494379928,1.0029080308338,0.385074581603182,0.000287932821025641,0.134836550323478
MTA3,158.867510546261,-0.0222253070429565,0.0484378427662709,0.000313004769275946,0.138892464140448
SEMA3B,4.75179513157251,1.68656780577394,0.711824294713009,0.000363572095815002,0.15460903374533
