gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
KIF4A,20.8792211446766,3.5077661890172,0.207178341109297,2.92130916465332e-65,1.31678010596749e-62
CDCA2,25.5466128492946,3.39233870380538,0.200812656878388,4.62045528699242e-65,2.04613214656601e-62
H1-2,206.791693628285,1.86975982882023,0.110740518078329,5.44771658439025e-65,2.37088382798584e-62
PYCR1,29.8791124854455,3.17678649214824,0.188664343980147,1.1116149349187e-64,4.75582782834201e-62
SKA1,21.6825408566613,3.05057756855948,0.181353939527887,4.04617967800521e-64,1.70222779053679e-61
RNASE1,113.145104404195,5.09391930990168,0.306117875980388,2.49620466981971e-63,1.032937676649e-60
TROAP,24.6169485460197,3.42300593041118,0.206500499686542,7.38541196886783e-63,3.00681562771229e-60
E2F1,125.85072760349,2.72866033256773,0.164498849923877,1.25669020495635e-62,5.03513875452512e-60
NUF2,31.2584602871234,2.13666938080211,0.129266076789452,2.52964133351781e-62,9.97706352197759e-60
IGLV2-23,366.988903853918,3.60624493161409,0.218764562648967,2.8264518534912e-62,1.09761996439731e-59
IGLV3-1,382.829403042184,3.92163616915038,0.23796118507037,3.45741031850925e-62,1.32230229181531e-59
IGLV1-47,452.962004726176,3.85879102806162,0.234307269496055,5.15488569722884e-62,1.94208395178284e-59
CENPA,13.8459343179896,3.60949040840396,0.218846049593411,5.56142393166092e-62,2.06443327769095e-59
ESPL1,32.2564944884869,2.79356755229768,0.170106141762306,1.51503041781224e-61,5.54237649368357e-59
KIFC1,35.943880092405,2.73006756399149,0.166491246260098,1.72205711368507e-61,6.20973795194835e-59
IGKV3-15,475.625743678643,3.06253447681044,0.187089015852196,2.20767383306347e-61,7.84874688650535e-59
CENPF,63.3432881384539,2.17280373602867,0.132444697163579,2.42287792128599e-61,8.49420617904179e-59
KIF15,33.0557196469631,2.44247109348158,0.149440581878401,5.18067537199621e-61,1.7832993547862e-58
DHFR,92.2045163588458,1.86910604348116,0.114293717722163,5.22795944276122e-61,1.7832993547862e-58
ACOT7,145.052920050767,1.58405473108785,0.0970750903338701,9.60650651012329e-61,3.2331658310471e-58
ORC1,39.5019939985638,2.56611738899682,0.157652816978228,1.11930956264522e-60,3.71758052372246e-58
NCAPH,57.3486830873682,2.04261925277036,0.125413779930068,1.26661956572325e-60,4.15220923090731e-58
CCNB1,69.2809464357035,2.27847943507389,0.140723547222128,8.93919924774461e-60,2.89286240271243e-57
IGHV3-21,359.208329211684,3.05469391566637,0.189672355742491,1.43338612558243e-59,4.57994083315845e-57
SDC1,29.9537975044988,5.13775041853108,0.318715147681558,2.10578453150502e-59,6.64427664303121e-57
IGLV6-57,378.867222906665,4.12156157732134,0.257320826628825,6.29781909135602e-59,1.96258703091369e-56
POLQ,29.7241486851515,2.20874598524671,0.137906405065555,1.26281809199022e-58,3.88732369244111e-56
IGLC3,2401.02827778397,3.57052801970605,0.223961416408016,2.17586150385034e-58,6.61724049158918e-56
IGHV1-46,212.596471194393,3.37593370350494,0.211952666454658,2.39492624616433e-58,7.19675336972381e-56
IGKV3-11,589.322236175703,2.81186044556318,0.176476559602629,2.7238232955368e-58,8.08879383834587e-56
RAD54L,18.8812452538973,2.82691820177752,0.177572461629805,4.8313021596226e-58,1.41804336178132e-55
IGHV3-23,745.463330672333,3.16331881052809,0.199708362647864,1.74914326287881e-57,5.07492807374563e-55
DERL3,54.743800612498,2.69292997261628,0.170689251823819,3.50351869642143e-57,1.00495248789852e-54
SEC11C,560.947690479287,1.40031674587538,0.0883013416365786,4.98960718484425e-57,1.41514229842515e-54
MCM2,186.397609766738,1.7721266117948,0.112560687979964,8.04704979362323e-57,2.2569292321182e-54
CDK1,54.3517743216698,2.71521669503378,0.172677273225471,9.25520681173819e-57,2.56725198177907e-54
KIF20A,24.6753678077339,3.48837120780631,0.222144435309634,1.44422604443644e-56,3.9625167188766e-54
IGKC,16195.4637758035,3.14603426222001,0.200025248553781,1.94345267010542e-56,5.27490669879581e-54
RECQL4,91.2708962596579,1.58893308997935,0.101553093101777,4.49295274139365e-56,1.20650120317296e-53
PRDX4,237.69641112149,1.15649071847562,0.0741180453475026,1.2415603784317e-55,3.29889127077611e-53
IGLV1-51,59.5356671719202,4.70101992107989,0.30325040583213,2.79958043833115e-55,7.36114681503697e-53
BUB1B,29.5373379055821,2.79063777766002,0.179728439945025,3.35733300858136e-55,8.73668039202172e-53
IGLV4-69,227.093570097144,3.72024628101763,0.240378672254679,3.5999788707619e-55,9.27251700569101e-53
MCM4,315.03591122786,1.6380143041112,0.106096463438876,1.36065834043561e-54,3.46926644740158e-52
CTNNAL1,44.7298297120382,2.20222701031011,0.143607741083307,3.54510809496914e-54,8.9485618533211e-52
DEPDC1B,21.0273798259755,2.85749240822211,0.186010332068882,4.35742173753112e-54,1.08901029206694e-51
SKA3,22.8623605376394,3.26467536727573,0.212826130972413,4.93583035583557e-54,1.21996913453905e-51
IGLV1-44,483.137566444796,3.32769737713836,0.217474043927635,4.9780849717741e-54,1.21996913453905e-51
CKAP2L,20.0031866947067,3.16795886012563,0.207118813260812,7.46070564471311e-54,1.810799345037e-51
HMMR,19.3536520923694,2.91881943441896,0.19087307474001,9.38912392114747e-54,2.25714539064385e-51
ANLN,25.7358517323387,2.85834568422899,0.187777173194529,2.33325592671022e-53,5.55623076434144e-51
CRELD2,511.790955594124,1.02766498878268,0.0674031093205307,3.78218793492474e-53,8.92242877134302e-51
HMGA1,1049.72002411708,1.01988090607127,0.0667455473263566,4.46088243038919e-53,1.04260735470263e-50
TXNDC5,77.0751674671479,2.55425214347163,0.168863743235006,8.09899014618251e-53,1.87554779146733e-50
ITM2C,856.691182828826,1.79127646432595,0.118340943473296,3.55704389499441e-52,8.16244563613172e-50
CLU,2907.08583227008,3.2401431463706,0.215290436144348,8.01661509993993e-52,1.82302160678093e-49
SPC25,10.2447832328708,3.88265454189395,0.259924883523689,4.14735763541607e-51,9.34710727081897e-49
SPC24,16.6432000742996,2.90079675896028,0.195145654740312,4.7013118290792e-51,1.05018153265148e-48
SPAG5,123.357967452565,1.71868258628152,0.115703198813302,9.17484046333467e-51,2.03150283311837e-48
IGKV2-30,172.042942639109,3.92255211362379,0.265346766714286,1.23942370563497e-50,2.72048114588155e-48
E2F2,174.020462004315,1.81097475499342,0.122109509784445,1.38171804897132e-50,3.00666612001156e-48
GLDC,57.6570955387213,3.85302639024203,0.261711616768655,4.01259261313727e-50,8.64503109131928e-48
PPIB,1136.94455826281,1.01012410002687,0.0677515164141402,4.04133455659486e-50,8.64503109131928e-48
IGLC2,3964.84501583181,3.48528278193506,0.237117852393432,4.49373392376308e-50,9.53200266417039e-48
KNL1,37.7480943621837,2.06509601776458,0.140320737639769,5.92395245763691e-50,1.24610339946392e-47
ESCO2,14.8267131650612,2.63985840379377,0.179156544212042,6.27415917276988e-50,1.308862197017e-47
PBK,11.8909059583573,4.04438238974902,0.276069933208584,1.15803617884395e-49,2.39599583822778e-47
NDC80,75.6424277597091,1.60797878543452,0.110106203928063,1.23016741632898e-49,2.52454357097368e-47
CDC25A,13.6280392350406,3.08170270883019,0.209925937481396,1.37355780677012e-49,2.79607630310415e-47
CACNA2D3,69.6768854468229,-2.19833858031715,0.151323508998975,6.10168980423249e-49,1.23215083230749e-46
JCHAIN,3419.20186563706,3.56726188800079,0.245825363192197,6.95427677383106e-49,1.39317344702416e-46
IGLV2-11,399.360353645426,3.88715350537755,0.268270191295711,8.97934609936649e-49,1.78469806488354e-46
NEK2,13.6644909488047,2.83307102818848,0.196475475091617,4.33804749606692e-48,8.55476522622823e-46
IGHV3-20,188.60159875242,4.90309174742099,0.341601548222935,6.18536506830084e-48,1.21031771359729e-45
XK,73.6706163846537,3.37653061873658,0.236243782204221,1.13394966052166e-47,2.20178133314522e-45
IGLV2-14,711.769038250525,2.99847709235153,0.209423680670316,1.22135806254379e-47,2.35339848967408e-45
IGHV3-33,290.38944357923,2.9905801256373,0.209716131577361,2.62322853726025e-47,5.01632838920631e-45
TGFBR1,622.03820295607,-1.06510710572563,0.0744561433665236,3.6034652735108e-47,6.83899777698945e-45
MTDH,1745.33481350064,0.525901146965692,0.0365913978262973,7.35990493959722e-47,1.3864083618307e-44
IGHV3-30,333.075148176167,2.99198075754505,0.210911949479787,7.95303251277271e-47,1.48704034583266e-44
FEN1,242.472817312298,1.19443031938518,0.0837624643697026,9.16944962830671e-47,1.70187681998322e-44
IGLV7-46,110.783373023892,3.56241676340822,0.251508202167332,9.35511440753491e-47,1.72366275821165e-44
HMGB3,64.998674664444,1.84811798202257,0.130346624042868,1.09978593199509e-46,2.01165191995798e-44
DIAPH3,9.77093563855363,3.16713111533255,0.22338630556371,1.43558361985561e-46,2.60697854189895e-44
EXO1,22.0939440975016,2.67980814301152,0.189441860583949,2.00757019876704e-46,3.61964906837698e-44
IGKV4-1,1104.30861483609,3.25682568086527,0.230769522640507,2.18274993466981e-46,3.90758679793868e-44
ZNF646,252.36912669447,-0.955609668361597,0.0674785336734475,2.23024019471224e-46,3.96448753485398e-44
TTK,19.7188365986627,2.53580517404422,0.180118978081624,5.90494034425697e-46,1.04232520398416e-43
STIL,39.0622646600318,1.80313315714748,0.128414658201687,1.11851992312244e-45,1.96067221524004e-43
POC1A,38.0301434368645,1.63105423676652,0.116123374036237,1.73892462609766e-45,3.02716795944533e-43
STMN1,577.489657706462,1.41011894923395,0.100413276044659,1.82478861365768e-45,3.15488453328405e-43
GMPR,227.608289951189,2.7193167372762,0.195662149380871,2.81951662140324e-45,4.84151282703814e-43
SLCO4A1,45.4974201955363,2.72504360186658,0.195869935979386,3.73857663726741e-45,6.3762940187773e-43
PCLAF,14.9529140872806,3.2284866337809,0.231822760351155,5.50776168392866e-45,9.33066580038438e-43
SPATS2,102.203576842758,1.17188685700567,0.0843080139661295,1.38087865355754e-44,2.32374259820663e-42
IGHV4-34,575.466564076692,3.81747236851187,0.277369741318723,3.57372746070819e-44,5.97404162670172e-42
CDCA8,46.514540534501,1.86419645725705,0.136048513257737,1.12246434235162e-43,1.86402927168682e-41
PTTG1,128.42810917439,1.59389524515994,0.116425489852959,1.38421642756132e-43,2.28368569049038e-41
UQCRH,644.259101217779,0.871171609515677,0.0630550676086706,1.42163355964227e-43,2.33018664366819e-41
TRIM58,621.785233816278,2.9178046963466,0.213138908343369,1.51161507295802e-43,2.4616895272004e-41
SDF2L1,392.758376262428,1.23649851933853,0.0903613545000564,2.88804606468259e-43,4.67308069004603e-41
GAS6,186.91838940454,1.85176520844397,0.135987429970255,4.04421581029785e-43,6.50217168684957e-41
RPN2,3371.4579680937,0.618057685430914,0.0456621374850401,4.82328590542068e-43,7.70565714079929e-41
DYNC2I2,134.551293661359,1.25589196131657,0.0925705164174803,9.6901548493748e-43,1.53835779061584e-40
CDKN2C,82.54387589014,1.21404105183027,0.0893094169148241,1.21544337958565e-42,1.91751386171882e-40
IGKV1-33,76.2083346543281,3.01982443294915,0.223855085756643,1.22487249711185e-42,1.92038705416754e-40
METTL7B,59.432890634004,5.56915287374285,0.413155937183965,1.36568122154779e-42,2.1279336663154e-40
IGLV3-10,306.723299069167,4.44505589938231,0.33105704617665,2.80544706580333e-42,4.34448434570599e-40
CHEK1,42.7243222222558,1.72807998995893,0.128307613387206,2.90404406937081e-42,4.46974880482061e-40
MANF,338.344196132405,1.19103842461271,0.0877067480066782,3.60788192400622e-42,5.51940336519788e-40
NT5DC2,86.4807731250149,2.17678790966354,0.162437009524787,4.85216792310374e-42,7.37821823584245e-40
CHPF,174.858623197064,1.54611510882783,0.11475840109421,6.17869975017053e-42,9.33908617328171e-40
IFI27L1,40.9348276813538,1.40787524978223,0.104599450276215,8.91547184981081e-42,1.33954964543407e-39
TNFRSF17,101.757917401475,3.38453010189066,0.253762320085487,1.02005061084087e-41,1.52355724963581e-39
CENPE,43.5384470675097,1.72754117778474,0.129329419064879,1.63152566276259e-41,2.42252769290902e-39
CLPTM1L,1243.19499725744,0.604044276962994,0.0454207279988479,1.97303434825276e-41,2.91247561512258e-39
IGKV3D-20,123.223405737381,4.48819087020847,0.338714121608301,2.49222276059485e-41,3.65748179784506e-39
IGHV3-11,157.717831982856,3.01495388142608,0.227086342076545,2.77267902662724e-41,4.0455470514523e-39
MYL6B,40.6465954654828,1.45351231048956,0.109077378491033,3.26187169700818e-41,4.72269037435633e-39
TEDC2,12.19507485627,2.36340303125513,0.1782875480734,3.27418911145059e-41,4.72269037435633e-39
UCHL1,10.7359395180686,5.15024626043972,0.387236696487467,3.55557596467767e-41,5.09942321024964e-39
DCPS,326.305195245875,0.739417604490063,0.0553692907092446,3.72919793889566e-41,5.31821550133358e-39
IGLV3-27,54.7732551476253,4.38464877660744,0.33172405107716,4.03725816932771e-41,5.72519498371742e-39
IGHV5-51,236.637409847428,2.71060445439207,0.204783452356525,5.1522052290614e-41,7.26547287105965e-39
TFDP1,650.140552190037,0.669038799880998,0.0502581206655997,8.45698738349189e-41,1.18595153074501e-38
IGLV5-45,70.8797088564062,3.97165770442475,0.302303738874674,1.31439797257258e-40,1.83304053169486e-38
MYL9,754.898794945239,3.73876477526344,0.284356588582506,1.35169755715332e-40,1.87470053503649e-38
PDIA4,1878.57977312132,1.05671310400117,0.079971928494783,1.50229501543196e-40,2.07218200981058e-38
MYDGF,835.335237385324,1.08683637662467,0.0826918390795621,2.28277552503289e-40,3.13162064146089e-38
TREML1,701.925728467176,2.93119101809088,0.225384887056859,2.77030811416106e-40,3.77989823879208e-38
ARNTL2,24.4989230290596,2.09601141276551,0.160041168742477,2.83640062336853e-40,3.849270136294e-38
POLE2,18.4104942841424,2.04713622984686,0.156276439385973,3.91395511751516e-40,5.28321150140735e-38
PLK4,53.2418400630485,1.45540509892121,0.110843440352715,4.02461419355105e-40,5.40368678051147e-38
FABP5,58.2794965450524,1.27798034694738,0.0974484036368566,4.27858703395103e-40,5.71429068312127e-38
FAM20A,128.128194399892,3.31935181744927,0.254827166727081,5.14283814032669e-40,6.83239580726981e-38
C1QC,45.1822702014401,3.54735998177845,0.273087620396689,7.44227461444619e-40,9.83549192763617e-38
IGLV3-19,685.726600314439,3.96144408606292,0.304051192099587,8.93830857703388e-40,1.17510825573692e-37
IGHV3-15,190.428988143636,2.70616752226736,0.20876412618641,1.32556172595254e-39,1.73366990085461e-37
TSHR,13.3456664714901,2.40767980346119,0.1855126123232,1.80851938801343e-39,2.35312610269252e-37
IGKV1D-33,9.99232669180848,3.37286643145545,0.260331336247775,2.04171636948173e-39,2.64292331274142e-37
BHLHA15,15.9199245712884,3.55110619206207,0.274734891543331,2.8853509414584e-39,3.71591981960678e-37
KIF18B,13.7140210316998,2.99591350223461,0.232607590035087,3.98249611745974e-39,5.10285111659486e-37
UBE2T,34.5748931332854,1.57683890272588,0.122183891168705,5.83105071663338e-39,7.43370617117474e-37
HBD,238.023551731678,6.32856072624195,0.494230408592987,7.38013006232746e-39,9.36126849413416e-37
C1QB,146.177949879983,2.89426609298755,0.225608501310873,7.78054585287237e-39,9.81982692091021e-37
KIF14,14.3735973855254,2.61359497068676,0.203447213128915,1.08952540184464e-38,1.36824876583892e-36
MAD2L1,91.3982664010449,1.45062692496691,0.112960036474887,1.38907037260484e-38,1.73578783887581e-36
SPARC,2666.76646663789,2.63583791629357,0.204935979952434,1.46583146411225e-38,1.82268560675475e-36
CAV1,17.004310301124,3.31105186618842,0.258802059249288,1.71039352172735e-38,2.11636045467852e-36
IGHV3-7,297.744022054025,2.71764500634399,0.213628230939199,3.76405024901185e-38,4.63473933588083e-36
HSP90B1,4181.90370478905,1.07395415349299,0.0835429536554552,3.81176309537954e-38,4.67070505114419e-36
IGKV1-16,102.27874281776,3.03736114456232,0.2394164090674,5.15461501652929e-38,6.28564213754745e-36
IGKV1-27,64.7814510627331,3.12391893236436,0.246542174106365,5.40979390804608e-38,6.56509701090861e-36
GALNT14,8.87064451397552,3.25536720319545,0.257130197945433,5.73917135101667e-38,6.93149106422788e-36
IGKV1-8,71.8980466537734,2.90231147899641,0.228889656684401,6.97038046214791e-38,8.37839731550179e-36
H1-3,144.625110937494,1.42955839159991,0.112729007670744,9.78194704101363e-38,1.17021756971216e-35
MCM7,1140.5263819909,0.900249835645929,0.0707816005475903,1.25147005498913e-37,1.49007580792621e-35
ITGA2B,2524.09568806767,3.10651697454721,0.246317058937771,2.28032961710651e-37,2.70235118286397e-35
DEPDC1,7.76225711599548,3.54379215810237,0.281201404824312,3.12790033465765e-37,3.68946075922562e-35
SMOX,408.473746253538,2.36963694642847,0.189859130320029,5.26380051442238e-37,6.17994663186277e-35
CYSLTR2,113.136960495267,-1.85912661875287,0.149159077938606,8.15058771816739e-37,9.52486736953617e-35
ACOXL,6.45813106097444,3.97660916864863,0.318803645206982,1.05713293400169e-36,1.22968430968068e-34
H2BC4,52.7246027399474,2.03754547797012,0.164155047333879,1.78563927196672e-36,2.06757369279742e-34
EGFL7,55.2568190612006,2.46082760552356,0.198604687812566,2.00546114977279e-36,2.31150001564222e-34
IGKV1-12,60.5175891928749,3.3145971208092,0.267878290669674,2.66326389609554e-36,3.05573214842016e-34
IGLV1-40,588.721964802841,3.04621443173502,0.246543440453812,3.11122687929627e-36,3.55355605824419e-34
IGHA2,3719.7277683673,3.46232143861557,0.281419071843034,5.85990472598611e-36,6.66287004924962e-34
HMGB2,1923.15353675369,1.01940868658213,0.0829015064319462,6.36136034701191e-36,7.20060349234415e-34
H2AZ2,1069.37310623962,0.560814144732734,0.0450133838755534,6.57550267534636e-36,7.40976957728093e-34
IGHV2-5,182.081195850903,3.11733755247145,0.253610549084902,6.7323362497829e-36,7.55278362742311e-34
CMTM5,214.45007579569,2.82657664350755,0.230159648821891,8.03611808072448e-36,8.97556161918793e-34
IGLV3-16,22.5446689410455,3.91023181240413,0.318574383624611,8.19848703579322e-36,9.11657311707016e-34
IGHV4-39,467.402757118277,3.57823433556174,0.29149099227678,8.94862164045576e-36,9.90706611615721e-34
IGHV3-49,137.256835507602,3.33647318755783,0.272096081813708,9.4357818913463e-36,1.04007863101032e-33
EGF,66.5344906224593,2.82027295535282,0.230151976080799,1.15890396783823e-35,1.27187191113793e-33
H2BC11,62.5632256308436,2.54413775857953,0.208572670682934,2.11457774828501e-35,2.31065677585326e-33
FBXO30,113.187219285531,-1.1911474737233,0.0974299974026418,3.26744340880039e-35,3.55503476400601e-33
IGKV2D-29,115.656419953749,4.51302922033197,0.369739318820574,3.34225295406925e-35,3.62082184835261e-33
RAP1GAP,15.416977590136,5.6652925273283,0.469870943196732,6.5615725175319e-35,7.07808604647608e-33
CDC25C,6.10890984409118,3.94078083255624,0.324765559587857,6.79887773369563e-35,7.30286262782745e-33
FANCI,202.972144850959,1.09558466831027,0.0899087310796369,7.47309567825732e-35,7.99304580976997e-33
ABLIM3,179.090626705779,2.80617029981575,0.232967378400226,1.47769354608021e-34,1.57383715148341e-32
H2AJ,341.278602862792,1.12651384680511,0.0930439445408923,1.70017507814926e-34,1.80318568582537e-32
SELENBP1,94.3428071517562,6.0337712309929,0.504178461557602,2.24069038770123e-34,2.3665065592617e-32
HBA2,3311.48606530592,6.48696214577458,0.540969911979855,2.45429474047429e-34,2.58130449329384e-32
