gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
IGHV1-46,212.596471194393,-4.36114436846014,0.703714229412736,2.79306477208993e-12,1.84280607691004e-09
IGLV3-21,362.472722673902,-5.63882512717788,0.930586807602638,2.82488992392318e-12,1.84280607691004e-09
TPX2,97.5206714323931,-2.87219326806203,0.451996380866956,3.37291259700166e-12,2.08662351766957e-09
IGLV9-49,76.0864355410223,-6.38338399833826,0.970041529830461,3.44469420993739e-12,2.08662351766957e-09
IGLC3,2401.02827778397,-4.39137815209951,0.726219104880498,3.68724992014327e-12,2.15653261708793e-09
IGLC2,3964.84501583181,-4.55271479293542,0.773287454826892,8.61480544009966e-12,4.87052383565101e-09
IGLV3-1,382.829403042184,-4.57522685412855,0.787226603106346,1.84862799051573e-11,1.01143804345604e-08
SHCBP1,76.8702489437404,-2.68813736903642,0.442383747579938,2.12608252553791e-11,1.12689017861401e-08
IGLV2-14,711.769038250525,-3.9585173273856,0.683372919572275,2.62782009164674e-11,1.35061989619456e-08
PTGDR2,65.6902967986989,3.16359751821259,0.487589430720854,2.77010502253591e-11,1.38187503785975e-08
IGKV1-16,102.27874281776,-5.54857707513818,0.922683544353021,2.95933174222113e-11,1.43409216228036e-08
AURKB,54.0623457046491,-3.10294869320045,0.51038426740193,3.59348573377689e-11,1.69303087584972e-08
IFI27,1290.30899853155,-8.65710000673347,1.6447074027784,3.82417251554604e-11,1.75302135232909e-08
IGKC,16195.4637758035,-3.71555672858291,0.648781965794993,3.95417102365041e-11,1.7649130192667e-08
MCM10,34.9802053764556,-4.14084932643723,0.675223471052371,4.86907861372623e-11,2.11754980429258e-08
IGLV1-40,588.721964802841,-4.56726424524998,0.818574519481768,6.25470841638664e-11,2.65215273625835e-08
IGKV1-33,76.2083346543281,-5.0590928144119,0.856760865282671,6.67517615452175e-11,2.7614064087035e-08
JCHAIN,3419.20186563706,-4.48386226677283,0.810128150616225,6.92684605252191e-11,2.79729133087676e-08
SLC38A5,280.111432398695,-1.6268940459968,0.273718239533953,7.16246188237421e-11,2.82517479039416e-08
SPIN3,153.210645417566,1.79264370706828,0.288968723526751,8.37376016932487e-11,3.22789423254362e-08
IGKV3-11,589.322236175703,-3.22005003886602,0.569028148005338,1.0574939015477e-10,3.89916392698924e-08
IGLV2-23,366.988903853918,-4.01855415383479,0.722528825155846,1.03650879118841e-10,3.89916392698924e-08
IGKV2-30,172.042942639109,-5.15140309152957,0.926364400588143,1.11372980053654e-10,4.01914279721282e-08
TK1,180.077096481836,-2.28782386787623,0.399230795759901,1.43779614080833e-10,5.03330313517665e-08
UHRF1,107.444613932654,-2.27066236210849,0.393961137612854,1.45411151243238e-10,5.03330313517665e-08
IGHV3-15,190.428988143636,-3.88019991357524,0.699544359678883,1.68633312236279e-10,5.60821491929319e-08
IGHV3-30,333.075148176167,-3.82996895247165,0.695493853120692,1.65593636024209e-10,5.60821491929319e-08
KBTBD11,224.900409468072,1.8745283046398,0.309166446835851,2.10535491480953e-10,6.86710090578547e-08
MKI67,239.616859576177,-2.79999519413819,0.504419385036154,2.62734202170297e-10,8.40799019435927e-08
IGHM,15043.4226481717,-2.9256980143185,0.535909050523213,3.14550508282314e-10,9.87979846477097e-08
CCNB2,62.2289484465185,-3.17814508635352,0.567456892480394,3.57532141389061e-10,1.10256411819998e-07
CDC20,81.8146012783083,-3.42095422588537,0.621562895346959,4.07674689165217e-10,1.23474471480915e-07
CCNB1,69.2809464357035,-2.65500446396483,0.474924746430847,4.25131894665688e-10,1.26502843253066e-07
UBE2C,54.9524265567817,-3.26107334050402,0.585643392521872,4.3374081620503e-10,1.26839275580233e-07
IGKV3-15,475.625743678643,-3.27940443691121,0.609546755652776,4.59281904303889e-10,1.32031870828784e-07
POU5F1B,9.45067474244741,3.18330602312102,0.53691269812675,4.67383341650769e-10,1.32121480962312e-07
ZWINT,111.036870699129,-2.26036425078463,0.407241180267764,4.81728442241981e-10,1.33944198506004e-07
AMFR,1210.81939138351,-1.69815415101184,0.306919620738637,6.04884315488017e-10,1.6547488508052e-07
IGHV4-39,467.402757118277,-5.0587588632758,0.998489924403402,7.51940691913894e-10,2.02439144056374e-07
IGHA2,3719.7277683673,-0.139133111127601,0.302624955221692,8.59080865831373e-10,2.27669852583842e-07
IGHG3,3339.67230895686,-4.28048607906299,0.842622133830511,9.46777420467373e-10,2.47050643516109e-07
CHPF,174.858623197064,-2.01750694846247,0.372618187523648,1.07641467408955e-09,2.65430013934537e-07
IGHV2-5,182.081195850903,-4.50853350473196,0.875635044719302,1.03524206233873e-09,2.65430013934537e-07
IGHV5-10-1,46.5032999205567,-0.00819592157428048,0.234051314510978,1.04940574494029e-09,2.65430013934537e-07
TYMS,32.259977285231,-3.31368079313394,0.587291659459888,1.07981079897901e-09,2.65430013934537e-07
CDC6,44.177897283523,-3.06587389906487,0.566552049768094,1.46304420099341e-09,3.54495609900703e-07
ACOT7,145.052920050767,-1.71609423378584,0.316627199830157,1.6040463309809e-09,3.83186335489676e-07
IGLV7-46,110.783373023892,-4.6524846849547,0.900024235594779,1.669607688606e-09,3.93308555645089e-07
IGKV1-8,71.8980466537734,-4.25747097923416,0.817558097924676,1.88832694514407e-09,4.38738538583404e-07
CDT1,50.2547732663787,-2.74219304381695,0.508743238038134,2.06057752785346e-09,4.72289938512467e-07
RAD51,42.6286295482622,-2.64400368356697,0.49141987566043,2.20305594275954e-09,4.98213757935261e-07
STMN1,577.489657706462,-1.68538865528118,0.318551610441729,2.32965994672545e-09,5.19912662584347e-07
IGHV3-11,157.717831982856,-3.88737704056605,0.772267572819149,2.56390815924729e-09,5.64759042714198e-07
